ticker,name,sector,market
SWKS,Skyworks Solutions,Information Technology,S&P 500
SJM,J.M. Smucker Company (The),Consumer Staples,S&P 500
SW,Smurfit Westrock,Materials,S&P 500
SNA,Snap-on,Industrials,S&P 500
SOLV,Solventum,Health Care,S&P 500
SO,Southern Company,Utilities,S&P 500
LUV,Southwest Airlines,Industrials,S&P 500
SWK,Stanley Black & Decker,Industrials,S&P 500
SBUX,Starbucks,Consumer Discretionary,S&P 500
STT,State Street Corporation,Financials,S&P 500
STLD,Steel Dynamics,Materials,S&P 500
STE,Steris,Health Care,S&P 500
SYK,Stryker Corporation,Health Care,S&P 500
SMCI,Supermicro,Information Technology,S&P 500
SYF,Synchrony Financial,Financials,S&P 500
SNPS,Synopsys,Information Technology,S&P 500
SYY,Sysco,Consumer Staples,S&P 500
TMUS,T-Mobile US,Communication Services,S&P 500
TROW,T. Rowe Price,Financials,S&P 500
TTWO,Take-Two Interactive,Communication Services,S&P 500
TPR,"Tapestry, Inc.",Consumer Discretionary,S&P 500
TRGP,Targa Resources,Energy,S&P 500
TGT,Target Corporation,Consumer Staples,S&P 500
TEL,TE Connectivity,Information Technology,S&P 500
TDY,Teledyne Technologies,Information Technology,S&P 500
TER,Teradyne,Information Technology,S&P 500
TSLA,"Tesla, Inc.",Consumer Discretionary,S&P 500
TXN,Texas Instruments,Information Technology,S&P 500
TPL,Texas Pacific Land Corporation,Energy,S&P 500
TXT,Textron,Industrials,S&P 500
TMO,Thermo Fisher Scientific,Health Care,S&P 500
TJX,TJX Companies,Consumer Discretionary,S&P 500
TKO,TKO Group Holdings,Communication Services,S&P 500
TTD,Trade Desk (The),Communication Services,S&P 500
TSCO,Tractor Supply,Consumer Discretionary,S&P 500
TT,Trane Technologies,Industrials,S&P 500
TDG,TransDigm Group,Industrials,S&P 500
TRV,Travelers Companies (The),Financials,S&P 500
TRMB,Trimble Inc.,Information Technology,S&P 500
TFC,Truist Financial,Financials,S&P 500
TYL,Tyler Technologies,Information Technology,S&P 500
TSN,Tyson Foods,Consumer Staples,S&P 500
USB,U.S. Bancorp,Financials,S&P 500
UBER,Uber,Industrials,S&P 500
UDR,"UDR, Inc.",Real Estate,S&P 500
ULTA,Ulta Beauty,Consumer Discretionary,S&P 500
UNP,Union Pacific Corporation,Industrials,S&P 500
UAL,United Airlines Holdings,Industrials,S&P 500
UPS,United Parcel Service,Industrials,S&P 500
URI,United Rentals,Industrials,S&P 500
UNH,UnitedHealth Group,Health Care,S&P 500
UHS,Universal Health Services,Health Care,S&P 500
VLO,Valero Energy,Energy,S&P 500
VEEV,Veeva Systems,Health Care,S&P 500
VTR,Ventas,Real Estate,S&P 500
VLTO,Veralto,Industrials,S&P 500
